DIA_file	individual_id	directory
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample183.raw	F150	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample349.raw	F15	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190925_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample220.raw	F149	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample170.raw	F146	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample169.raw	F145	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample136.raw	F14	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample162.raw	F137	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample129.raw	F136	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample158.raw	F133	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample154.raw	F131	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201
